ISO3,Country,Continent,Hemisphere,Metric tons of CO2e per capita (1990),Metric tons of CO2e per capita (1995),Metric tons of CO2e per capita (2000),Metric tons of CO2e per capita (2005),Metric tons of CO2e per capita (2010),Metric tons of CO2e per capita (2013),Metric tons of CO2e per capita (2018)
AFG,Afghanistan,Asia,Northern Hemisphere,1.24,0.84,0.82,0.76,1.06,1.4,2.66
ALB,Albania,Europe,Northern Hemisphere,3.56,2.15,2.36,2.68,2.83,2.85,3.52
DZA,Algeria,Africa,Northern Hemisphere,3.5,3.42,3.75,4.04,4.58,4.88,5.18
AGO,Angola,Africa,Southern Hemisphere,4.29,4.43,4.2,5.06,6.32,5.99,2.59
ATG,Antigua and Barbuda,America,Northern Hemisphere,6.31,6.53,7.08,8.77,10.69,11.22,12.59
ARG,Argentina,America,Southern Hemisphere,7.12,7.25,7.49,7.73,7.77,7.86,8.22
ARM,Armenia,Asia,Northern Hemisphere,,1.94,1.82,2.3,2.46,2.97,3.17
AUS,Australia,Oceania,Southern Hemisphere,28.06,27.28,30.84,27.6,25.39,25.06,24.63
AUT,Austria,Europe,Northern Hemisphere,9.71,9.55,9.59,10.79,9.85,9.15,8.48
AZE,Azerbaijan,Asia,Northern Hemisphere,,7.5,6.79,6.61,6.36,7.43,8.07
BHS,Bahamas,America,Northern Hemisphere,8.31,6.69,6.32,6.03,7.58,9.04,6.85
BHR,Bahrain,Asia,Northern Hemisphere,27.27,29.64,29.19,27.78,24.4,25.4,31.19
BGD,Bangladesh,Asia,Northern Hemisphere,0.8,0.81,0.81,0.85,1,1.04,1.23
BRB,Barbados,America,Northern Hemisphere,11.01,10.38,11.69,12.17,12.64,12.53,13.22
BLR,Belarus,Europe,Northern Hemisphere,,8.23,7.84,8.63,9.66,9.55,9.29
BEL,Belgium,Europe,Northern Hemisphere,,,13.26,12.16,11.44,10.17,9.52
BLZ,Belize,America,Northern Hemisphere,29.05,29.84,28.55,28.11,28.29,28.15,4.08
BEN,Benin,Africa,Northern Hemisphere,1.01,0.88,1.01,1.16,1.21,1.22,1.51
BTN,Bhutan,Asia,Northern Hemisphere,1.36,1.68,1.72,1.55,1.46,1.91,3.27
BOL,Bolivia,America,Southern Hemisphere,3.04,3.49,3.38,3.78,4.38,4.5,5.01
BIH,Bosnia and Herzegovina,Europe,Northern Hemisphere,,1.81,5.34,6,7.36,7.89,8.18
BWA,Botswana,Africa,Southern Hemisphere,9.12,8.45,8.25,5.58,9.32,6.07,7.15
BRA,Brazil,America,Southern Hemisphere,3.73,3.92,4.12,4.43,4.73,5.03,4.93
BRN,Brunei,Asia,Northern Hemisphere,48.33,46.38,46.49,44.83,46.88,46.84,38.75
BGR,Bulgaria,Europe,Northern Hemisphere,11.24,8.28,7.16,8.03,8,7.55,7.59
BFA,Burkina Faso,Africa,Northern Hemisphere,1.25,1.29,1.27,1.42,1.38,1.38,1.56
BDI,Burundi,Africa,Southern Hemisphere,0.42,0.42,0.35,0.26,0.29,0.32,0.49
